mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03199315071105957,0.0012203752740538218,0.0036327362060546873,0.003151386805285187,4,10,"{'max_depth': 4, 'n_estimators': 10}",-22194.27219338613,-20035.301035423803,-22385.983171018837,-19563.93180115582,-20579.49234803082,-20951.796109803083,1140.647184403902,58
0.06239075660705566,0.00439891103433717,0.003647470474243164,0.003471307922866932,4,20,"{'max_depth': 4, 'n_estimators': 20}",-21157.645909139555,-18981.128130351026,-21552.283176369863,-18958.826278895547,-19979.21147260274,-20125.818993471745,1076.396746757354,1
0.082708740234375,0.0032127771599388855,0.00604248046875,0.005099867966547917,4,30,"{'max_depth': 4, 'n_estimators': 30}",-21348.783256635274,-18712.13709332192,-21540.241264447774,-19152.962462542808,-20112.12002354452,-20173.24882009846,1134.0298068127024,2
0.1134993553161621,0.00832269998407732,0.0030238151550292967,0.004034201327476553,4,40,"{'max_depth': 4, 'n_estimators': 40}",-21314.105428617295,-19161.210268621577,-21649.0576171875,-19289.858532213184,-19935.031972388697,-20269.852763805648,1029.0045183579928,4
0.13410959243774415,0.008913660482699535,0.0025115013122558594,0.0032694218621495182,4,50,"{'max_depth': 4, 'n_estimators': 50}",-21391.070459653252,-19173.254093535958,-21577.387842465752,-19355.841582833906,-20134.06232609161,-20326.323260916095,1000.7214041622346,5
0.15139641761779785,0.00791497844928978,0.0026159286499023438,0.003894772833614603,4,60,"{'max_depth': 4, 'n_estimators': 60}",-21332.410651220034,-19141.25302333048,-21611.291965432363,-19718.795242936645,-20020.145039597603,-20364.779184503423,951.1244904922866,9
0.17907562255859374,0.01078275583514942,0.003631448745727539,0.0044951690741104975,4,70,"{'max_depth': 4, 'n_estimators': 70}",-21448.78763110017,-19061.902932363013,-21613.226669520547,-19866.83532213185,-19932.55949004709,-20384.662409032535,986.3029154160693,11
0.20722355842590331,0.006283648910818726,0.005751419067382813,0.0029729528958376164,4,80,"{'max_depth': 4, 'n_estimators': 80}",-21393.835549550513,-19184.856485445205,-21766.552935038526,-19801.065844392124,-19893.76917005565,-20408.015996896404,994.6275966095056,12
0.22331714630126953,0.0039297810423267404,0.004043722152709961,0.003378164471542946,4,90,"{'max_depth': 4, 'n_estimators': 90}",-21473.35981645976,-19286.092666416953,-21814.83825181935,-19863.95320526541,-19912.396417487158,-20470.128071489726,989.4616526154114,18
0.25380702018737794,0.008192666306011396,0.0014150619506835937,0.0019732636772362556,4,100,"{'max_depth': 4, 'n_estimators': 100}",-21557.921848244863,-19348.910049229453,-21902.248381314213,-19916.006715539384,-19990.791791523974,-20543.175757170382,1000.1527543825878,25
